author,publication_title,year,citations
paola alberti,Management of Side Effects in the Personalized Medicine Era: ChemotherapyInduced Peripheral Neurotoxicity,2022,0
paola alberti,UNVEILING THE MICROVASCULAR NETWORK ALTERATIONS IN THE CENTRAL AND PERIPHERAL NERVOUS SYSTEM OF RATS EXPOSED TO NEUROTOXIC CHEMOTHERAPY,2022,0
paola alberti,MITOCHONDRIAL DYSFUNCTION IS A FEATURE OF PACLITAXEL AND OXALIPLATINPROMOTED CHEMOTHERAPYINDUCED PERIPHERAL NEUROTOXICITY,2022,0
paola alberti,Studying the caudal nerve anatomy and physiology to refine detection of peripheral nerve damage in rodent models,2022,0
paola alberti,Chemotherapy Induced Peripheral Neurotoxicy: why should we care?,2022,0
paola alberti,Serum neurofilament light chain as a blood biomarker of severity in paclitaxelinduced peripheral neurotoxicity,2021,0
paola alberti,Macrophage infiltration contributes differently to axonal degeneration after chemotherapy treatment: an experimental study,2021,0
paola alberti,DIFFERENT DEGREES OF MACROPHAGE INFILTRATION IN PRECLINICAL MODELS OF ANTITUBULIN AGENTSINDUCED PERIPHERAL NEUROTOXICITY,2021,0
paola alberti,SeizureRelated  Homolog Like  Autoimmunity: Neurologic Syndrome and Antibody Effects,2021,0
paola alberti,MORPHOFUNCTIONAL CHARACTERIZATION OF CIPN,2021,0
paola alberti,Oxaliplatin induced peripheral neurotoxicity (OIPN) and ion unbalance: the perilous link between acute and chronic neurotoxicity,2021,0
paola alberti,Presenting International Chemotherapy induced peripheral neurotoxicity (CIPN) assessment and validation study (ICAVS),2021,0
paola alberti,INVESTIGATING THE INVOLVEMENT OF SATELLITE GLIAL CELLS IN PACLITAXELINDUCED PERIPHERAL NEUROTOXICITY,2021,0
paola alberti,INVESTIGATION OF AGING EFFECTS ON NERVE DAMAGE IN AN ANIMAL MODEL OF PACLITAXELINDUCED PERIPHERAL NEUROPATHY,2021,0
paola alberti,Practical Tips for a Rapid and Efficient CIPN Patient Evaluation,2021,0
paola alberti,Sodium/calcium exchanger (NCX): axonal damage as a consequence of functional disturbances A new target for neuroprotection?,2021,0
paola alberti,T MRI first exploitation in a chemotherapy induced peripheral neurotoxicity in vivo model,2021,0
paola alberti,Addressing the Need of a Translational Approach in Peripheral Neuropathy Research: Morphology Meets Function Brain Sci   ,2021,0
paola alberti,Pathogenic role of Dtubulin in bortezomib induced peripheral neuropathy,2020,0
paola alberti,MALDI mass spectrometry imaging for in situ analysis of DRGs: Oxaliplatin modifies the tissue proteome,2020,0
paola alberti,Antinociceptive efficacy of IVIg in the treatment of paclitaxelinduced neuropathic pain in a rat model,2020,0
paola alberti,Molsidomine provides neuroprotection against vincristineinduced peripheral neuropathy through soluble guanylyl cyclase activation,2020,0
paola alberti,SCALES: PERIPHERAL NERVES,2020,0
paola alberti,Differential Contribution of Neuronal Uptake Transporters to Oxaliplatin Peripheral Neurotoxicity,2020,0
paola alberti,Macrophage infiltration in different preclinical models of chemotherapyinduced peripheral neurotoxicity,2020,0
paola alberti,Morphology meets function to unravel Oxaliplatin Induced Peripheral Neurotoxicity (OIPN),2020,0
paola alberti,Topiramate in OxaliplatinInduced Peripheral Neurotoxicity: more than neuroprotection,2020,0
paola alberti,Tackling Oxaliplatin Induced Peripheral neurotoxicity: from bed to bench side and back,2020,0
paola alberti,A possible biomarker for paclitaxelinduced peripheral neurotoxicity: Neurofilament light chain serum levels monitoring,2020,0
paola alberti,Guillain–Barré Syndrome Associated with COVID,2020,0
paola alberti,Oxaliplatin induced peripheral neurotoxicity (OIPN): a translational approach for drug discovery,2020,0
paola alberti,Topiramate possible double efficacy profile: Oxaliplatininduced peripheral neurotoxicity prevention and anticancer synergic action,2020,0
paola alberti,Neurofilament light chain serum levels as a possible paclitaxelinduced peripheral neurotoxicity biomarker: pilot and feasibility study,2020,0
paola alberti,Responsiveness and Minimal Clinical Important Difference (MCID) of the Total Neuropathy Score clinical and nurse versions in CIPN,2020,0
paola alberti, Reducing overtreatment of early stage ovarian cancer: strategies implementation by a mirnadriven prognostic assessment,2019,0
paola alberti,NERVE EXCITABILITY TESTING IN ANIMAL MODELS OF OXALIPLATIN INDUCED PERIPHERAL NEUROTOXICITY: ION CHANNEL DYSFUNCTION AS A POSSIBLE PATHOGENETIC MECHANISM,2019,0
paola alberti,Molsidomide provides neuroprotection against vincristineinduced peripheral neurotoxicity,2019,0
paola alberti,NERVE EXCITABILITY TESTING AS THE LINK BETWEEN ANATOMY AND PHYSIOLOGY: AXONAL EXCITABILITY TESTING TO TEST IN VIVO MECHANISMS OF PERIPHERAL NERVE DAMAGE,2019,0
paola alberti,Topiramate Prevents Oxaliplatin Neurotoxicity in a rat model,2019,0
paola alberti,The validation of neuroactive drug selection based on combinatorial screening in bortezomibinduced neurotoxicity models,2019,0
paola alberti,Assessment of oxaliplatininduced peripheral neurotoxicity with different treatment schedules,2019,0
paola alberti,Sensorymotor paclitaxel polyneuropathy characterization in a rat model,2019,0
paola alberti,Chemotherapy induced peripheral neurotoxicity: the search for the ideal outcome measure,2019,0
paola alberti,Liability Of The VoltageGated Potassium Channel SK Repeat Polymorphism To Acute OxaliplatinInduced Peripheral Neurotoxicity,2019,0
paola alberti,Neuronopathies and polyneuropathies: a ready to use translational neurophysiological protocol in rodent models,2019,0
paola alberti,Chemotherapy Induced Peripheral Neurotoxicity (CIPN): neurological burden from a physician and patient point of view,2019,0
paola alberti,Nerve Excitability Testing to Unravel Chemotherapy Induced Peripheral Neurotoxicity (CIPN) Pathogenesis: Altered Axonal Excitability as a Possible Pivotal Event Related to …,2019,0
paola alberti,Molsidomine reduces the severity of Vincristineinduced peripheral neurotoxicity in rats,2019,0
paola alberti,Role of Organic Transporters  and  in Cisplatin mediated neurotoxicity,2019,0
paola alberti,Topiramate prevents oxaliplatin acute effects on axonal excitability,2018,0
paola alberti,OXALIPLATIN INDUCED PERIPHERAL NEUROTOXICITY: A RAT MODEL THAT REPRODUCES ACUTE AND CHRONIC PHENOMENA,2018,0
paola alberti,Topiramate neuroprotectant effects against oxaliplatin induced peripheral neurotoxicity,2018,0
paola alberti,Neurofilament light protein: a blood biomarker of neurodegeneration in chemotherapyinduced peripheral neurotoxicity,2018,0
paola alberti,TOPIRAMATE PREVENTS OXALIPLATIN ACUTE PERIPHERAL NEUROTOXICITY,2018,0
paola alberti,Novità in materia di neuropatie periferiche,2018,0
paola alberti,Oxaliplatin induced Peripheral Neurotoxicity (OIPN): a Rat Model that full encompasses all OIPN Phenomena,2018,0
paola alberti,Blood NfL as a potential axonal damage marker in different CIPN rat models,2018,0
paola alberti,The Link between Bench and BedSide:“clinical” neurophysiological approach to a rat model of neuropathy,2018,0
paola alberti,Study of perpheral neurotoxicity of different doses of oxaliplatin in cd mice,2018,0
paola alberti,Blood neurofilament light chains as a potential damage marker in chemotherapyinduce peripheral neuropathy rodent models,2018,0
paola alberti,STANDARD AND ADVANCED NEUROPHYSIOLOGY SET UP IN MOUSE MODELS: SENSORY RECORDINGS AND NERVE EXCITABILITY TESTING OF THE CAUDAL NERVE,2018,0
paola alberti,Targeting oatpb to ameliorate paclitaxelinduced chronic peripheral neuropathy,2018,0
paola alberti,Dolore neuropatico postchemio e radioterapia,2017,0
paola alberti,Ion Channel Dysfunction and Axonal Hyperexcitability in Animal Models: a Possible Key to Peripheral Neurotoxicity,2017,0
paola alberti,Intravenous Immunoglobulin Preparation Attenuates Pain Behaviors in a Wistar Rat Model of BortezomibInduced Peripheral Neuropathy,2017,0
paola alberti,An innovative traslational approach to oxaliplatin induced peripheral neurotoxicity in animal models: nerve excitability testing,2017,0
paola alberti,OXALIPLATIN INDUCED PERIPHERAL NEUROTOXICITY: NERVE EXCITABILITY TESTING FULL PROFILE IN A LONG TERM TOXICITY ANIMAL STUDY,2017,0
paola alberti,Advanced neurophysiologya translational approach to neuropathy and neuropathic pain,2017,0
paola alberti,Nerve Excitability Testing: An In Vivo Translational Approach To Investigate Oxaliplatin Induced Peripheral Neurotoxicity Pathogenesis And Treatment,2017,0
paola alberti,Breaking the wall of Chemotherapy Neurotox,2017,0
paola alberti,Animal Models for the Study of Human Central and Peripheral Nervous System Diseases,2017,0
paola alberti,An in vivo and in vitro neurophysiological approach to acute and chronic oxaliplatininduced peripheral neurotoxicity,2017,0
paola alberti,Ivig Effect In A Wistar Rat Model Of BortezomibInduced Peripheral Neuropathy,2017,0
paola alberti,ACCURATE NEUROPHYSIOLOGICAL MONITORING FOR SENSORY NEUROPATHY IN MOUSE MODELS OF CHEMOTHERAPY INDUCED PERIPHERAL NEUROTOXICITY,2017,0
paola alberti,ERIBULIN PACLITAXEL IXABEPILONE AND VINORELBINEINDUCED PERIPHERAL NEUROPATHY IN MICE: INSIGHTS IN LONGTERM RECOVERY,2017,0
paola alberti,EMG Recordings at Rest to Verify Axonal Hyperexcitability in a Rat Model of Oxaliplatin Induced Peripheral Neurotoxicity,2017,0
paola alberti,Neuropathy and myelopathy: case report,2016,0
paola alberti,"Translational Approach to Oxaliplatin Induced Peripheral NeurotoxicityNeurophysiology: the Link between Bed and Bench"" side""",2016,0
paola alberti,MR/E a firstinclass sigma receptor antagonist in oxaliplatininduced peripheral neuropathy An exploratory Phase II clinical trial,2016,0
paola alberti,Pharmacokinetics of IVIg in Wistar rats,2016,0
paola alberti,Patologie della giunzione neuromuscolare,2016,0
paola alberti,Chemotherapy Induced Peripheral Neurotoxicity (CIPN),2016,0
paola alberti,Oxaliplatin Induced Peripheral Neurotoxicity: what we know and what we need,2016,0
paola alberti,Oxaliplatin induced peripheral neurotoxicity–a neurophysiological translational approach,2016,0
paola alberti,EVALUATION OF THE EFFICACY OF PERIPHAGEN NEUROTROPHIN EXPRESSING VECTOR FOR OXALIPLATIN INDUCED PERIPHERAL NEUROPATHY,2016,0
paola alberti,Longterm recovery from chemotherapyinduced neuropathy following paclitaxel ixabepilone eribulin and vinorelbine in mice,2016,0
paola alberti,How to assess models of oxaliplatin induced peripheral neurotoxicity–a neurophysiological translational approach,2016,0
paola alberti,Translational approach to chemotherapy induced peripheral neurotoxicity (cipn)–neurophysiology as the link between bench and bedside,2016,0
paola alberti,A CASE OF TAXANERELATED PERIPHERAL NEUROTOXICITY IN A CMTA PATIENT,2016,0
paola alberti,CROSSSECTIONAL STUDY OF A POPULATION OF FABRY DISEASE PATIENTS: PILOT STUDY FOR A FABRYRELATED NEUROPATHY REGISTRY,2015,0
paola alberti,Oxaliplatin neurotoxicity: morphofunctional approach,2015,0
paola alberti,Chemotherapy Induced Peripheral Neurotoxicity An Issue that should not be forgotten: Neuropathic Pain,2015,0
paola alberti,Following up the longterm Course of OxaliplatinInduced Peripheral Neurotoxicity,2015,0
paola alberti,O CHEMOTHERAPY INDUCED PERIPHERAL NEUROTOXICITY (CIPN): THE IMPACT OF SENSORY ATAXIA ON PATIENT REPORTED ASSESSMENT OF MOTOR IMPAIRMENT,2014,0
paola alberti,Severe neurotoxicity: case report,2014,0
paola alberti,The significance of dorsal sural nerve recordings in early detecting oxaliplatininduced peripheral neuropathy,2014,0
paola alberti,NelarabineInduced Neurotoxicity: Reversible Damage not only on Peripheral Nerves,2014,0
paola alberti,PROVIDER PERCEPTIONS OF CLINICAL NEUROPATHY EXAMINATION USEFULNESS,2013,0
paola alberti,The lectin pathway as a therapeutic target in stroke,2013,0
paola alberti,Epidemiologia e clinica della CIPN,2013,0
paola alberti,Dorsal sural nerve conduction study as an early predictor for oxaliplatinrelated neuropathy,2013,0
paola alberti,Incidence characteristics and associations of oxaliplatininduced peripheral neuropathy in colorectal cancer patients: Results of a prospective multicenter international study,2012,0
paola alberti,Le malattie cerebrovascolari,2012,0
paola alberti,Major issue in chemotherapyinduced peripheral neuropathy (cipn): lack of standardized measurement scales ciperinoms study: validity and reliability in cipn assessment,2012,0
paola alberti,TUMORI PRIMITIVI E METASTATICI DEL SISTEMA NERVOSO,2012,0
paola alberti,Chemotherapyinduced Peripheral Neuropathy,2012,0
paola alberti,Peripheral neurotoxicity of oxaliplatin in combination with fluorouracil (FOLFOX) or capecitabine (XELOX): a prospective evaluation of  colorectal cancer patients,2012,0
paola alberti,Neuropatie periferiche,2012,0
paola alberti,When progressive dysphagia could be related to an “old friend”–a case report,2012,0
paola alberti, MicroRNA Predictor of Early Relapse in Advanced Stage Ovarian Cancer Patients,2012,0
paola alberti,A Longitudinal Study on Oxaliplatin Induced Peripheral Neuropathy–Incidence and Facts About the “Real Life” Population And Actual Dose,2012,0
paola alberti,Elementi di Neurologia per Odontoiatria,2012,0
paola alberti,The PiK Inhibitor Ly Downregulates Akt Phosphorylation & Reduces Cell Proliferation Without Decreasing the Phosphocholine Level in Ovarian Cancer Cells,2011,0
paola alberti,Dorsal sural nerve conduction study in the assessment of oxaliplatin induced peripheral neuropathy,2010,0
paola alberti,Sclerosi laterale amiotrofica e demenza: associazione insolita o continuum,2009,0
paola alberti,Complement activation by combined use of chimeric antiFR and antimCRP antibodies as an efficient effector system in the treatment of ovarian carcinoma,2006,0
paola alberti,Department of Anatomy The Medical School King's College Newcastle upon Tyne England NERVE SUPPLY AND DISTRIBUTION OF CHOLINESTERASE ACTIVITY IN THE EXTERNAL NOSE OF THE MOLE,1961,0
paola alberti,NEUROHISTOLOGICAL AND CHOLINESTERASE STUDIES OF NERVE ENDINGS IN NOSE OF MOLE,1961,0
paola alberti,Genomic Expression and Biochemical Characterization of Enzymes Contributing to the Phosphocholine MRS Signal in Ovary Cancer,0,0
paola alberti,Multiparametric Non Invasive MRS Evalutation of Cisplatin Treatment in Ovarian Cancer,0,0
paola alberti,VoltageGated Sodium Channel Polymorphisms Play a Pivotal Role in the Development of OxaliplatinInduced Peripheral Neurotoxicity Results From a Prospective Multicenter Study,0,0
kishal lukhna,Remote ischaemic conditioning: defining critical criteria for success—report from the th Hatter Cardiovascular Workshop,2022,31
kishal lukhna,Cardiovascular care in subSaharan Africa during the COVID crisis: lessons from the global experience,2020,6
kishal lukhna,Remote ischaemic conditioning in STEMI patients in subSaharan AFRICA: rationale and study design for the RICAFRICA trial,2023,5
kishal lukhna,Phenotypic changes in lowdensity lipoprotein particles as markers of adverse clinical outcomes in COVID,2023,4
kishal lukhna,RIC in COVID—a Clinical Trial to Investigate Whether Remote Ischemic Conditioning (RIC) Can Prevent Deterioration to Critical Care in Patients with COVID,2022,3
kishal lukhna,Effect of remote ischaemic conditioning on the inflammatory cytokine cascade of COVID (RIC in COVID): a randomized controlled trial,2022,1
kishal lukhna,RIC in COVIDa Clinical Trial to Investigate Whether Remote Ischemic Conditioning (RIC) Can Prevent Deterioration to Critical Care in Patients with COVID (Jun  …,2022,0
kishal lukhna,Correction to: RIC in COVID—a Clinical Trial to Investigate Whether Remote Ischemic Conditioning (RIC) Can Prevent Deterioration to Critical Care in Patients with COVID,2021,0
kishal lukhna,The utility of the  versus the revised  arrhythmogenic right ventricular cardiomyopathy (ARVC) task force diagnostic criteria for identifying mutationpositive probands …,2021,0
